iter	Passed	Remaining
455	936	1117
456	938	1114
457	940	1112
458	942	1110
459	944	1108
460	946	1106
461	947	1103
462	951	1103
463	953	1101
464	956	1099
465	958	1097
466	959	1095
467	961	1092
468	962	1089
469	963	1086
470	966	1085
471	968	1082
472	970	1081
473	972	1078
474	974	1077
475	976	1074
476	977	1072
477	981	1072
478	988	1074
479	990	1073
480	992	1071
481	995	1070
482	997	1068
483	999	1065
484	1001	1063
485	1003	1061
486	1005	1059
487	1007	1057
488	1011	1056
489	1013	1054
490	1015	1053
491	1018	1051
492	1020	1049
493	1022	1047
494	1024	1045
495	1027	1044
496	1029	1041
497	1030	1038
498	1031	1036
499	1033	1033
500	1034	1030
501	1036	1027
502	1037	1025
503	1038	1022
504	1042	1021
505	1043	1018
506	1045	1016
507	1046	1013
508	1048	1011
509	1050	1009
510	1051	1006
511	1053	1004
512	1056	1003
513	1058	1001
514	1061	999
515	1063	997
516	1065	995
517	1068	994
518	1072	994
519	1074	991
520	1076	989
521	1078	987
522	1079	984
523	1081	982
524	1082	979
525	1083	976
526	1085	973
527	1088	972
528	1090	970
529	1091	968
530	1093	965
531	1095	963
532	1098	962
533	1100	960
534	1104	959
535	1105	957
536	1108	955
537	1110	953
538	1112	951
539	1114	948
540	1115	946
541	1117	944
542	1119	942
543	1121	940
544	1123	937
545	1125	935
546	1127	933
547	1130	932
548	1132	930
549	1139	932
550	1141	930
551	1144	929
552	1147	927
553	1149	925
554	1151	923
555	1153	921
556	1157	920
557	1158	917
558	1160	915
559	1162	913
560	1163	910
561	1164	907
562	1165	904
563	1167	902
564	1168	899
565	1169	897
566	1171	894
567	1172	891
568	1173	888
569	1174	885
570	1175	883
571	1177	881
572	1178	878
573	1179	875
574	1180	872
575	1182	870
576	1183	867
577	1184	865
578	1186	862
579	1187	859
580	1188	856
581	1189	854
582	1190	851
583	1192	849
584	1193	846
585	1194	843
586	1195	840
587	1196	838
588	1197	835
589	1198	833
590	1199	830
591	1200	827
592	1201	824
593	1202	822
594	1203	819
595	1204	816
596	1207	815
597	1208	812
598	1209	809
599	1211	807
600	1212	804
601	1213	802
602	1214	799
603	1215	796
604	1216	794
605	1217	791
606	1218	789
607	1219	786
608	1221	784
609	1222	781
610	1224	779
611	1225	776
612	1226	774
613	1227	771
614	1229	769
615	1230	767
616	1231	764
617	1232	761
618	1233	759
619	1234	756
620	1236	754
621	1237	752
622	1238	749
623	1239	747
624	1240	744
625	1241	741
626	1242	739
627	1243	736
628	1244	734
629	1245	731
630	1246	729
631	1247	726
632	1250	725
633	1251	722
634	1253	720
635	1254	717
636	1255	715
637	1256	712
638	1257	710
639	1258	708
640	1259	705
641	1260	702
642	1261	700
643	1262	698
644	1264	695
645	1265	693
646	1266	691
647	1267	688
648	1268	686
649	1269	683
650	1271	681
651	1272	678
652	1273	676
653	1274	674
654	1275	671
655	1276	669
656	1277	666
657	1279	664
658	1280	662
659	1281	660
660	1282	657
661	1283	655
662	1284	652
663	1285	650
664	1286	648
665	1287	645
666	1288	643
667	1289	640
668	1290	638
669	1291	636
670	1292	633
671	1294	631
672	1295	629
673	1296	627
674	1297	624
675	1298	622
676	1299	620
677	1300	617
678	1301	615
679	1302	613
680	1304	610
681	1305	608
682	1306	606
683	1308	604
684	1309	602
685	1310	599
686	1311	597
687	1312	595
688	1313	592
689	1314	590
690	1315	588
691	1316	586
692	1317	583
693	1319	581
694	1320	579
695	1321	577
696	1323	575
697	1324	573
698	1325	570
699	1326	568
700	1327	566
701	1328	564
702	1330	561
703	1331	559
704	1332	557
705	1333	555
706	1334	553
707	1336	551
708	1338	549
709	1340	547
710	1341	545
711	1342	543
712	1345	541
713	1346	539
714	1348	537
715	1349	535
716	1350	532
717	1351	530
718	1353	528
719	1354	526
720	1355	524
721	1356	522
722	1358	520
723	1359	518
724	1360	515
725	1361	513
726	1362	511
727	1363	509
728	1364	507
729	1365	505
730	1367	503
731	1368	501
732	1369	498
733	1370	496
734	1371	494
735	1372	492
736	1373	490
737	1374	488
738	1375	485
739	1376	483
740	1377	481
741	1378	479
742	1379	477
743	1382	475
744	1383	473
745	1384	471
746	1385	469
747	1386	467
748	1387	465
749	1388	462
750	1389	460
751	1390	458
752	1391	456
753	1393	454
754	1394	452
755	1395	450
756	1397	448
757	1398	446
758	1399	444
759	1400	442
760	1401	440
761	1402	438
762	1403	436
763	1404	433
764	1405	431
765	1406	429
766	1407	427
767	1409	425
768	1411	423
769	1412	421
770	1413	419
771	1414	417
772	1415	415
773	1416	413
774	1417	411
775	1418	409
776	1419	407
777	1420	405
778	1421	403
779	1422	401
780	1423	399
781	1425	397
782	1426	395
783	1428	393
784	1429	391
785	1430	389
786	1431	387
787	1432	385
788	1433	383
789	1434	381
790	1436	379
791	1437	377
792	1438	375
793	1440	373
794	1441	371
795	1442	369
796	1444	367
797	1445	365
798	1446	363
799	1446	361
800	1448	359
801	1449	357
802	1450	355
803	1451	353
804	1452	351
805	1453	349
806	1455	348
807	1456	346
808	1457	344
809	1459	342
810	1460	340
811	1461	338
812	1462	336
813	1463	334
814	1464	332
815	1465	330
816	1466	328
817	1467	326
818	1469	324
819	1470	322
820	1471	320
821	1472	318
822	1473	316
823	1474	314
824	1475	313
825	1476	311
826	1477	309
827	1478	307
828	1480	305
829	1481	303
830	1482	301
831	1484	299
832	1485	297
833	1486	295
834	1487	293
835	1488	292
836	1490	290
837	1491	288
838	1492	286
839	1493	284
840	1495	282
841	1496	280
842	1498	279
843	1499	277
844	1500	275
845	1501	273
846	1503	271
847	1504	269
848	1505	267
849	1506	265
850	1507	263
851	1508	262
852	1509	260
853	1510	258
854	1513	256
855	1514	254
856	1515	252
857	1516	250
858	1517	249
859	1518	247
860	1519	245
861	1520	243
862	1521	241
863	1522	239
864	1524	237
865	1525	235
866	1526	234
867	1528	232
868	1529	230
869	1530	228
870	1531	226
871	1532	224
872	1533	223
873	1534	221
874	1535	219
875	1536	217
876	1538	215
877	1539	213
878	1541	212
879	1542	210
880	1543	208
881	1545	206
882	1546	204
883	1547	203
884	1548	201
885	1549	199
886	1550	197
887	1551	195
888	1552	193
889	1553	192
890	1554	190
891	1556	188
892	1558	186
893	1559	184
894	1560	183
895	1561	181
896	1562	179
897	1563	177
898	1564	175
899	1565	173
900	1566	172
901	1567	170
902	1568	168
903	1569	166
904	1571	164
905	1572	163
906	1573	161
907	1575	159
908	1576	157
909	1577	155
910	1578	154
911	1579	152
912	1580	150
913	1581	148
914	1582	147
915	1583	145
916	1584	143
917	1586	141
918	1587	139
919	1588	138
920	1589	136
921	1591	134
922	1592	132
923	1593	131
924	1594	129
925	1595	127
926	1596	125
927	1597	123
928	1598	122
929	1600	120
930	1601	118
931	1602	116
932	1604	115
933	1605	113
934	1606	111
935	1607	109
936	1608	108
937	1609	106
938	1610	104
939	1611	102
940	1612	101
941	1615	99
942	1616	97
943	1618	95
944	1619	94
945	1620	92
946	1621	90
947	1622	88
948	1623	87
949	1624	85
950	1625	83
951	1626	82
952	1627	80
953	1630	78
954	1631	76
955	1632	75
956	1633	73
957	1634	71
958	1636	69
959	1637	68
960	1638	66
961	1639	64
962	1640	63
963	1641	61
964	1643	59
965	1644	57
966	1645	56
967	1647	54
968	1648	52
969	1649	51
970	1650	49
971	1651	47
972	1652	45
973	1653	44
974	1654	42
975	1655	40
976	1656	38
977	1657	37
978	1659	35
979	1660	33
980	1661	32
981	1663	30
982	1664	28
983	1665	27
984	1666	25
985	1667	23
986	1668	21
987	1669	20
988	1670	18
989	1671	16
990	1673	15
991	1674	13
992	1675	11
993	1676	10
994	1677	8
995	1679	6
996	1680	5
997	1681	3
998	1682	1
999	1683	0
